Title,Author,Downloads,Book_URL
"The Phantom 'Rickshaw, and Other Ghost Stories",Rudyard Kipling,65032 downloads,https://www.gutenberg.org/ebooks/2806
Space Station 1,Frank Belknap Long,65027 downloads,https://www.gutenberg.org/ebooks/50290
"Love-at-arms :  being a narrative excerpted from the chronicles of Urbino, during the dominion of the high and mighty Messer Guidobaldo da Montefeltro",Rafael Sabatini,64883 downloads,https://www.gutenberg.org/ebooks/3530
The Hound of the Baskervilles,Arthur Conan Doyle,64872 downloads,https://www.gutenberg.org/ebooks/3070
The Grand Babylon Hôtel,Arnold Bennett,64852 downloads,https://www.gutenberg.org/ebooks/2813
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",Olaudah Equiano,64835 downloads,https://www.gutenberg.org/ebooks/15399
The Hand in the Dark,Arthur J. Rees,64759 downloads,https://www.gutenberg.org/ebooks/20546
The Zeppelin's Passenger,E. Phillips Oppenheim,64729 downloads,https://www.gutenberg.org/ebooks/1931
The Air Pirate,Guy Thorne,64687 downloads,https://www.gutenberg.org/ebooks/40361
Minute Mysteries [Detectograms],H. A. Ripley,64664 downloads,https://www.gutenberg.org/ebooks/50603
The Czar's Spy: The Mystery of a Silent Love,William Le Queux,64659 downloads,https://www.gutenberg.org/ebooks/10102
The Real Adventure,Henry Kitchell Webster,64644 downloads,https://www.gutenberg.org/ebooks/15384
"Changeling, and Other Stories",Donn Byrne,64630 downloads,https://www.gutenberg.org/ebooks/59892
Life Blood,Thomas Hoover,64590 downloads,https://www.gutenberg.org/ebooks/34318
Children of the Whirlwind,Leroy Scott,64571 downloads,https://www.gutenberg.org/ebooks/3321
The Passionate Friends,H. G. Wells,64560 downloads,https://www.gutenberg.org/ebooks/30340
"The Camp Fire Girls Solve a Mystery; Or, The Christmas Adventure at Carver House",Hildegard G. Frey,64557 downloads,https://www.gutenberg.org/ebooks/38983
Love's Labour's Lost,William Shakespeare,64555 downloads,https://www.gutenberg.org/ebooks/1510
The Secret of the Night,Gaston Leroux,64546 downloads,https://www.gutenberg.org/ebooks/1686
"Napoleon's Letters to Josephine, 1796-1812",Emperor of the French Napoleon I,64501 downloads,https://www.gutenberg.org/ebooks/37499
The Daughter of Anderson Crow,George Barr McCutcheon,64438 downloads,https://www.gutenberg.org/ebooks/14818
